{'messageID': 1, 'humidity': Decimal('77.133884059'), 'temperature': Decimal('24.659454244')}
{'messageID': 2, 'humidity': Decimal('79.286577263'), 'temperature': Decimal('29.863164389')}
{'messageID': 1, 'humidity': Decimal('70.831966907'), 'temperature': Decimal('20.634239703')}
{'messageID': 2, 'humidity': Decimal('78.873540490'), 'temperature': Decimal('31.470507799')}
{'messageID': 1, 'humidity': Decimal('64.910693789'), 'temperature': Decimal('29.413091638')}
{'messageID': 2, 'humidity': Decimal('72.824597771'), 'temperature': Decimal('21.662631704')}
{'messageID': 1, 'humidity': Decimal('66.930602620'), 'temperature': Decimal('22.892181729')}
{'messageID': 2, 'humidity': Decimal('70.084725184'), 'temperature': Decimal('27.301950187')}
{'messageID': 3, 'humidity': Decimal('69.945495952'), 'temperature': Decimal('29.953492205')}
{'messageID': 1, 'humidity': Decimal('73.967010586'), 'temperature': Decimal('23.380967197')}
{'messageID': 2, 'humidity': Decimal('61.729102244'), 'temperature': Decimal('21.487443797')}
{'messageID': 3, 'humidity': Decimal('70.965649762'), 'temperature': Decimal('25.789741037')}
{'messageID': 1, 'humidity': Decimal('66.771286820'), 'temperature': Decimal('29.445548021')}
{'messageID': 2, 'humidity': Decimal('76.201390325'), 'temperature': Decimal('31.811034037')}
{'messageID': 3, 'humidity': Decimal('79.242737847'), 'temperature': Decimal('23.810425348')}
{'messageID': 1, 'humidity': Decimal('77.133884059'), 'temperature': Decimal('24.659454244')}
{'messageID': 2, 'humidity': Decimal('79.286577263'), 'temperature': Decimal('29.863164389')}
{'messageID': 1, 'humidity': Decimal('70.831966907'), 'temperature': Decimal('20.634239703')}
{'messageID': 2, 'humidity': Decimal('78.873540490'), 'temperature': Decimal('31.470507799')}
{'messageID': 1, 'humidity': Decimal('64.910693789'), 'temperature': Decimal('29.413091638')}
{'messageID': 2, 'humidity': Decimal('72.824597771'), 'temperature': Decimal('21.662631704')}
{'messageID': 1, 'humidity': Decimal('66.930602620'), 'temperature': Decimal('22.892181729')}
{'messageID': 2, 'humidity': Decimal('70.084725184'), 'temperature': Decimal('27.301950187')}
{'messageID': 3, 'humidity': Decimal('69.945495952'), 'temperature': Decimal('29.953492205')}
{'messageID': 1, 'humidity': Decimal('73.967010586'), 'temperature': Decimal('23.380967197')}
{'messageID': 2, 'humidity': Decimal('61.729102244'), 'temperature': Decimal('21.487443797')}
{'messageID': 3, 'humidity': Decimal('70.965649762'), 'temperature': Decimal('25.789741037')}
{'messageID': 1, 'humidity': Decimal('66.771286820'), 'temperature': Decimal('29.445548021')}
{'messageID': 2, 'humidity': Decimal('76.201390325'), 'temperature': Decimal('31.811034037')}
{'messageID': 3, 'humidity': Decimal('79.242737847'), 'temperature': Decimal('23.810425348')}
{'messageID': 1, 'humidity': Decimal('77.133884059'), 'temperature': Decimal('24.659454244')}
{'messageID': 2, 'humidity': Decimal('79.286577263'), 'temperature': Decimal('29.863164389')}
{'messageID': 1, 'humidity': Decimal('70.831966907'), 'temperature': Decimal('20.634239703')}
{'messageID': 2, 'humidity': Decimal('78.873540490'), 'temperature': Decimal('31.470507799')}
{'messageID': 1, 'humidity': Decimal('64.910693789'), 'temperature': Decimal('29.413091638')}
{'messageID': 2, 'humidity': Decimal('72.824597771'), 'temperature': Decimal('21.662631704')}
{'messageID': 1, 'humidity': Decimal('66.930602620'), 'temperature': Decimal('22.892181729')}
{'messageID': 2, 'humidity': Decimal('70.084725184'), 'temperature': Decimal('27.301950187')}
{'messageID': 3, 'humidity': Decimal('69.945495952'), 'temperature': Decimal('29.953492205')}
{'messageID': 1, 'humidity': Decimal('73.967010586'), 'temperature': Decimal('23.380967197')}
{'messageID': 2, 'humidity': Decimal('61.729102244'), 'temperature': Decimal('21.487443797')}
{'messageID': 3, 'humidity': Decimal('70.965649762'), 'temperature': Decimal('25.789741037')}
{'messageID': 1, 'humidity': Decimal('66.771286820'), 'temperature': Decimal('29.445548021')}
{'messageID': 2, 'humidity': Decimal('76.201390325'), 'temperature': Decimal('31.811034037')}
{'messageID': 3, 'humidity': Decimal('79.242737847'), 'temperature': Decimal('23.810425348')}
{'messageID': 1, 'humidity': Decimal('77.133884059'), 'temperature': Decimal('24.659454244')}
{'messageID': 2, 'humidity': Decimal('79.286577263'), 'temperature': Decimal('29.863164389')}
{'messageID': 1, 'humidity': Decimal('70.831966907'), 'temperature': Decimal('20.634239703')}
{'messageID': 2, 'humidity': Decimal('78.873540490'), 'temperature': Decimal('31.470507799')}
{'messageID': 1, 'humidity': Decimal('64.910693789'), 'temperature': Decimal('29.413091638')}
{'messageID': 2, 'humidity': Decimal('72.824597771'), 'temperature': Decimal('21.662631704')}
{'messageID': 1, 'humidity': Decimal('66.930602620'), 'temperature': Decimal('22.892181729')}
{'messageID': 2, 'humidity': Decimal('70.084725184'), 'temperature': Decimal('27.301950187')}
{'messageID': 3, 'humidity': Decimal('69.945495952'), 'temperature': Decimal('29.953492205')}
{'messageID': 1, 'humidity': Decimal('73.967010586'), 'temperature': Decimal('23.380967197')}
{'messageID': 2, 'humidity': Decimal('61.729102244'), 'temperature': Decimal('21.487443797')}
{'messageID': 3, 'humidity': Decimal('70.965649762'), 'temperature': Decimal('25.789741037')}
{'messageID': 1, 'humidity': Decimal('66.771286820'), 'temperature': Decimal('29.445548021')}
{'messageID': 2, 'humidity': Decimal('76.201390325'), 'temperature': Decimal('31.811034037')}
{'messageID': 3, 'humidity': Decimal('79.242737847'), 'temperature': Decimal('23.810425348')}
{'messageID': 1, 'humidity': Decimal('77.133884059'), 'temperature': Decimal('24.659454244')}
{'messageID': 2, 'humidity': Decimal('79.286577263'), 'temperature': Decimal('29.863164389')}
{'messageID': 1, 'humidity': Decimal('70.831966907'), 'temperature': Decimal('20.634239703')}
{'messageID': 2, 'humidity': Decimal('78.873540490'), 'temperature': Decimal('31.470507799')}
{'messageID': 1, 'humidity': Decimal('64.910693789'), 'temperature': Decimal('29.413091638')}
{'messageID': 2, 'humidity': Decimal('72.824597771'), 'temperature': Decimal('21.662631704')}
{'messageID': 1, 'humidity': Decimal('66.930602620'), 'temperature': Decimal('22.892181729')}
{'messageID': 2, 'humidity': Decimal('70.084725184'), 'temperature': Decimal('27.301950187')}
{'messageID': 3, 'humidity': Decimal('69.945495952'), 'temperature': Decimal('29.953492205')}
{'messageID': 1, 'humidity': Decimal('73.967010586'), 'temperature': Decimal('23.380967197')}
{'messageID': 2, 'humidity': Decimal('61.729102244'), 'temperature': Decimal('21.487443797')}
{'messageID': 3, 'humidity': Decimal('70.965649762'), 'temperature': Decimal('25.789741037')}
{'messageID': 1, 'humidity': Decimal('66.771286820'), 'temperature': Decimal('29.445548021')}
{'messageID': 2, 'humidity': Decimal('76.201390325'), 'temperature': Decimal('31.811034037')}
{'messageID': 3, 'humidity': Decimal('79.242737847'), 'temperature': Decimal('23.810425348')}
